"ID1","ID2","prop_shared","smouse_dist","abs_difference_pine","abs_difference_oak","elev","evi8","mtwm","mtwm_invert","topo_dist","abs_difference_pine_standardized","abs_difference_oak_standardized","elev_standardized","evi8_standardized","mtwm_standardized","mtwm_invert_standardized","topo_dist_standardized"
1,10,0.196162444113264,1850.90078979978,0,0.197022092554549,199.2535221,4375.53688,317.5029651,311.2782566,8137.86077833083,-0.702381294511926,-0.098205492373501,0.237383142450528,1.0325014205171,0.773756889630376,0.700737182120361,-0.0873058072436416
1,100,0.230805538074261,2061.61897567219,0,0.531372037642821,264.9492849,7626.28362,598.5754533,600.0235864,17768.3650044094,-0.702381294511926,2.05953349211553,1.90079359545062,2.81793554914284,2.74761674782105,2.72849263211575,1.5981364416581
1,102,0.227751937984496,1979.68565058298,0,0.451342870346731,246.4821545,7570.530611,570.4067047,570.3359081,17540.1084949068,-0.702381294511926,1.54306248110526,1.43320761372158,2.78731386957078,2.54979887360264,2.52000665759893,1.55818908732738
1,103,0.2299473521214,1996.42418908355,0,0.449920607026861,250.3126923,7570.530611,570.4067047,570.3359081,17520.5707446412,-0.702381294511926,1.53388385536724,1.53019646575044,2.78731386957078,2.54979887360264,2.52000665759893,1.55476977002341
1,104,0.230890217049387,2054.69419845623,0,0.449049956672248,250.3126923,7570.530611,570.4067047,570.3359081,17520.5707446412,-0.702381294511926,1.52826508306114,1.53019646575044,2.78731386957078,2.54979887360264,2.52000665759893,1.55476977002341
1,105,0.22299872935197,1968.82111025504,0,0.370196520036996,243.3238492,7198.138462,549.9409291,548.7720441,16204.2690065356,-0.702381294511926,1.01938169071036,1.35323962452601,2.58278189423244,2.40607590312523,2.36857133298521,1.32440274981088
1,106,0.221447112264763,1959.49046415273,0,0.4697556350795,233.8542726,7127.159114,549.9409291,548.7720441,15874.8820307822,-0.702381294511926,1.66188989788749,1.11347084750642,2.54379732838256,2.40607590312523,2.36857133298521,1.26675647167838
1,107,0.231114808652246,2090.16657692627,0,0.505914697208232,255.0730983,7570.530611,570.4067047,570.3359081,17351.7816784703,-0.702381294511926,1.89524366134371,1.65072949198275,2.78731386957078,2.54979887360264,2.52000665759893,1.52522986052349
1,108,0.227186611935586,2003.13843622471,0,0.503389611629757,255.0730983,7570.530611,570.4067047,570.3359081,17351.7816784703,-0.702381294511926,1.87894793385253,1.65072949198275,2.78731386957078,2.54979887360264,2.52000665759893,1.52522986052349
1,109,0.218817369879889,1906.47297748818,0,0.434454581049956,249.3346549,7198.138462,549.9409291,548.7720441,16184.9378552829,-0.702381294511926,1.43407331950286,1.50543265199372,2.58278189423244,2.40607590312523,2.36857133298521,1.32101958956545
1,11,0.213282937365011,2012.32398962004,0,0.332073954053904,206.2808967,4864.251689,357.2885181,350.5529312,8784.64047276106,-0.702381294511926,0.773356386926456,0.415315597582739,1.30092223854533,1.05315494279998,0.976549211780228,0.0258876244951192
1,110,0.201848249027237,1828.00494881527,0.177530268899441,0.428647132823924,178.8358633,3587.028448,152.3806764,148.4434591,4152.32749619033,0.1071236443203,1.39659475065069,-0.279590032472546,0.599422507331148,-0.385831013991069,-0.44279351431801,-0.784817175333121
1,111,0.205169112954691,1873.29114674122,0.0273038035204044,0.316307562701162,186.176532,3702.064105,216.5840031,212.3157422,6955.93330944737,-0.577881039227619,0.671607432675722,-0.0937250005866455,0.662604478873073,0.0650433143610413,0.00575874538220421,-0.294155879101697
1,112,0.199108734402852,1829.71393123314,0.0375191196099078,0.268153336560932,195.9624346,3621.300709,216.5840031,212.3157422,6795.33598564955,-0.531301101747384,0.360842461611517,0.154053120605681,0.618246140591046,0.0650433143610413,0.00575874538220421,-0.322262145215617
1,113,0.198902606310014,1861.11071022417,0.0375191196098703,0.297764239005104,196.382431,3726.275178,216.5840031,212.3157422,6901.0249985958,-0.531301101747555,0.551937449088854,0.164687389426172,0.675902123839672,0.0650433143610413,0.00575874538220421,-0.303765426509866
1,114,0.21518787496053,1888.5133092324,0.116930087310344,0.306332695997529,190.8039418,3552.341498,216.5840031,212.3157422,6540.07140790214,-0.169201889317521,0.607234283920371,0.0234405745367933,0.580371111051678,0.0650433143610413,0.00575874538220421,-0.366936203176002
1,115,0.207381920550516,1839.63574173923,0.123835146577556,0.290877625473428,171.7413001,3450.697017,187.1199377,182.9389841,6290.48641876633,-0.137716105995109,0.507494449451202,-0.459223696553387,0.524544084254798,-0.141871052550536,-0.200543747481427,-0.410616271789861
1,116,0.210837272113437,1900.96990264608,0.0152066585941657,0.226997197442937,170.8907899,3426.457236,-1,-1,6499.71984139101,-0.633041765475977,0.0952398882283913,-0.480758533760014,0.511230671759362,-1.46296226261284,-1.49228161812937,-0.373998163111916
1,117,0.214470702492716,1910.20217852908,0.0254264010314325,0.157907396541038,174.2964927,3491.870303,-1,-1,6561.57035794268,-0.586441644674905,-0.350633541770991,-0.39452646344251,0.547158023725232,-1.46296226261284,-1.49228161812937,-0.363173654730486
1,119,0.233812949640288,2153.19365598589,0.103068767110426,0.538338740424257,323.4987956,8592.53517,683.9228698,686.952789,26508.217622019,-0.232406926014245,2.10449335050846,3.38326162634805,3.34863776379999,3.34697757644031,3.33896541260366,3.12770504005033
1,121,0.230598290598291,2105.70217394098,0.358816360976782,0.17707962821024,312.9993555,8341.232393,655.8737857,656.4873242,24139.6595553788,0.93375443684913,-0.226904878733913,3.11741680365899,3.21061269123644,3.15000005822584,3.12501732094922,2.71318179798766
