tissue_number,species,project,aluminum_band,color_band,color_ba_1,color_ba_2,sex,age,date_banded,year,plot,habitat,closest.pine,distance,POP,longitude_,latitude__,gps_certai,distance_t,pine_plot,pedigree_i,bled,blood_hema,blood_plas,blood_whol,feather_,slide,freezer_st,freezer__1,freezer__2,freezer__3,dry_storag,dry_stor_1,dry_stor_2,bill_depth,bill_lengt,bill_len_1,bill_width,mass,tarsus1,tarsus2,wing_left,wing_right,tail,notes,banders
F09-138,ISSJ,ISSJ,1363-74595,GKO,AU,"GKO,AU",M,AHY,11/14/2009,2009,SZ Off-plot,Pine,China,242.0649642,E-P,259759,3764268,Trap Setup,242,China,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.69,34.98,25.65,9.53,124.89,48.9,48.76,NA,141,156,FEMALE RATTLED AT HIM,KL
F09-139,ISSJ,ISSJ,1583-92721,OBG,AU,"OBG,AU",M,AHY,11/14/2009,2009,SZ Off-plot,Pine,China,260.4559977,E-P,259618,3764249,Trap Setup,260,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.32,35.58,27.09,10.03,119.22,48.32,48.66,NA,141,158.5,NA,KL
F09-141,ISSJ,ISSJ,1363-74596,BYU,AU,"BYU,AU",?,AHY,11/14/2009,2009,SZ Off-plot,Pine,China,262.3970884,E-P,259618,3764247,Trap Setup,262,China,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.62,36.12,27.65,9.85,116.17,47.83,47.69,NA,137.5,153,MAY BE GKO'S FEMALE; YUR CHASED THIS BIRD INTENSELY; USED SMALL COLOUR BANDS,KL
F11-067,ISSJ,ISSJ,1783-24854,KGB,AW,"KGB,AW",?,AHY,10/9/2011,2011,SZ Off-plot,Pine,Christie,0,W-P,238535,3767679,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.3,35.08,26.32,8.72,118.92,47.18,NA,NA,136.5,152,NA,KL
F11-122,ISSJ,ISSJ,1783-24884,KRK,AW,"KRK,AW",?,AHY,11/16/2011,2011,SZ Off-plot,Pine,Christie,60.05276268,W-P,238664,3767651,Trap Setup,60,Christie,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.3,35.82,26.75,9.06,117.2,47.55,NA,NA,138.5,159.5,MIST NET,KL
F09-035,ISSJ,ISSJ,1603-79328,PBO,AW,"PBO,AW",?,SY,9/26/2009,2009,SZ Off-plot,Pine,Christie,0,W-P,240809,3767509,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,9.78,32.54,24.28,9.2,111.62,45.89,45.93,NA,133.5,NA,TAIL FEATHERS LOOK OLD; NEW TAIL FEATHER MOLTING IN IS TRUNCATE,KL
F09-064,ISSJ,ISSJ,1583-92709,PBU,AW,"PBU,AW",?,AHY,10/8/2009,2009,SZ Off-plot,Pine,Christie,0,W-P,240883,3767535,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.36,34.57,25.57,9.15,116.23,47.24,47.13,NA,138,NA,NA,KL
F09-065,ISSJ,ISSJ,1363-74566,GUK,AW,"GUK,AW",M,AHY,10/8/2009,2009,SZ Off-plot,Pine,Christie,0,W-P,240880,3767533,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.4,35.59,27.72,9.6,119.06,47.04,47.2,NA,135.5,NA,NA,KL
F10-053,ISSJ,ISSJ,1583-92734,GWP,AW,"GWP,AW",?,AHY,10/8/2010,2010,SZ Off-plot,Pine,Christie,0,W-P,240506,3767567,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_5,NA,NA,NA,NA,NA,10.39,35.39,26.86,9.54,113.43,46.88,NA,NA,136,NA,PROBABLY TERRITORIAL MALE,KL
F11-060,ISSJ,ISSJ,1603-78795,PKU,AW,"PKU,AW",?,AHY,10/7/2011,2011,SZ Off-plot,Pine,Christie,9.594364821,W-P,240306,3767574,Trap Setup,10,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.37,35.55,26.54,9.55,124.88,48.41,NA,NA,139.5,160,MIST NET,KL
F11-061,ISSJ,ISSJ,1783-24849,URW,AW,"URW,AW",?,AHY,10/7/2011,2011,SZ Off-plot,Pine,Christie,18.17282311,W-P,240301,3767581,Trap Setup,18,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.45,35.03,26.7,9.24,120.97,46.85,NA,NA,138.5,156,MIST NET,KL
F09-108,ISSJ,ISSJ,1363-74585,PWW,AW,"PWW,AW",?,AHY,11/2/2009,2009,SZ Off-plot,Pine,Christie,0,W-P,240813,3767404,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.72,35.62,26.61,9.84,126.64,48.19,48.41,NA,140.5,149,was consistently caching on opposite slope in pine,KL
F09-028,ISSJ,ISSJ,1363-74551,WUR,AW,"WUR,AW",?,AHY,9/23/2009,2009,SZ Off-plot,Pine,Christie,0,W-P,240872,3767410,Trap Setup,0,Christie,NA,Yes,Yes,Yes,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.85,33.87,25.56,9.48,117.3,45.88,46.16,NA,140,NA,finished molt; windy so weight to 0.1g,KL
F11-027,ISSJ,ISSJ,1793-17861,RPY,AW,"RPY,AW",M,AHY,9/27/2011,2011,SZ Off-plot,Pine,Christie,0,W-P,240220,3766803,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10,33.36,25.58,9.12,115.17,45.56,NA,NA,138,158,NA,KL
F11-100,ISSJ,ISSJ,1783-24871,KGG,AW,"KGG,AW",M,AHY,10/28/2011,2011,SZ SAU,Pine,Christie,0,W-P,240215,3766811,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,9.97,35.14,26.99,8.86,120.59,47.02,NA,NA,140.5,153.5,MISSING RIGHT TOE ON RIGHT FOOT; DIDN'T COLLECT TAIL FEATHER BECAUSE MOLTING,KL
F09-021,ISSJ,ISSJ,1363-74549,OWY,AW,"OWY,AW",M,AHY,9/19/2009,2009,SZ SAU,Pine,Christie,21.94992334,W-P,241664.5,3767379.7,Location,22,Christie,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,11.1,33.3,24.65,9.61,117.21,46.7,46.97,NA,136,NA,EDGE OF BISHOP PINES,KL
F11-058,ISSJ,ISSJ,1703-64629,POP,AW,"POP,AW",M,AHY,10/7/2011,2011,SZ SAU,Pine,Christie,87.77225579,W-P,241426,3767443,Trap Setup,88,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.16,35.67,27.11,9.36,121.73,47.66,NA,NA,137.5,161,WITH UB FEMALE WHO WAS RECORDED IN SEPT; THIS PAIR HAD BROWN-HEAD OFFSPRING IN JUNE,KL
F11-059,ISSJ,ISSJ,1783-24848,UPR,AW,"UPR,AW",F,AHY,10/7/2011,2011,SZ SAU,Pine,Christie,88.85670784,W-P,241424,3767444,Trap Setup,89,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.14,35.03,25.41,8.94,119.31,47.63,NA,NA,136.5,159,SUSPECT HIM TO BE NEIGHBOURING MALE,KL
F10-036,ISSJ,ISSJ,1783-24630,WBO,AW,"WBO,AW",M,AHY,9/30/2010,2010,SZ SAU,Pine,Christie,6.391099827,W-P,241685,3767330,Trap Setup,6,Christie,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_5,NA,NA,NA,NA,NA,10.38,34.91,26.18,9.76,113.72,46.29,NA,NA,134.5,NA,caught in mist-net; all feathers new,KL
F10-039,ISSJ,ISSJ,1583-92730,OGB,AW,"OGB,AW",F,AHY,9/30/2010,2010,SZ CEN,Pine,Christie,6.391099827,W-P,241685,3767330,Trap Setup,6,Christie,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_5,NA,NA,NA,NA,NA,10.65,35.55,26.87,9.26,122.13,47.37,NA,NA,139,NA,caught in mist-net,KL
F10-054,ISSJ,ISSJ,1583-92735,BUP,AW,"BUP,AW",?,AHY,10/9/2010,2010,SZ Off-plot,Pine,Christie,18.38066014,W-P,239634,3767245,Trap Setup,18,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_5,NA,NA,NA,NA,NA,10.52,35.46,26.36,9.26,116.89,47.21,NA,NA,138.5,NA,caught in mist-net; BILL BROKEN AT TIP,KL
F09-056,ISSJ,ISSJ,1363-74562,PUK,AW,"PUK,AW",?,AHY,10/5/2009,2009,SZ SAU,Pine,Christie,0,W-P,241683,3767144,Trap Setup,0,Christie,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.16,34.05,25.33,9.31,109.92,46.4,46.36,NA,137.5,NA,NA,KL
F10-084,ISSJ,ISSJ,1783-24646,YKO,AW,"YKO,AW",?,AHY,10/19/2010,2010,SZ Off-plot,Pine,Christie,11.73557373,W-P,241624,3767097,Trap Setup,12,Christie,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.47,35.57,27,9.7,122.62,47.18,NA,NA,138,NA,NA,KL
F10-085,ISSJ,ISSJ,1783-24647,OYP,AW,"OYP,AW",?,AHY,10/19/2010,2010,SZ SAU,Pine,Christie,12.39012076,W-P,241623,3767097,Trap Setup,12,Christie,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.27,34.99,26.06,9.13,119.22,47.58,NA,NA,135,NA,NA,KL
F10-057,ISSJ,ISSJ,1583-92737,YBR,AW,"YBR,AW",?,AHY,10/9/2010,2010,SZ Off-plot,Pine,Christie,0,W-P,239680,3767243,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_5,NA,NA,NA,NA,NA,10.34,34.4,25.69,9.38,115.09,44.04,NA,NA,135.5,NA,caught in mist-net,KL
F09-112,ISSJ,ISSJ,1583-92716,YKR,AW,"YKR,AW",M,AHY,11/4/2009,2009,SZ CEN,Pine,Christie,12.6307,W-P,241781,3766980,Trap Setup,13,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.43,36.42,26.83,10.07,123.52,47.71,47.78,NA,139,157,NA,KL
F09-076,ISSJ,ISSJ,1833-00691,UOK,AW,"UOK,AW",M,AHY,10/17/2009,2009,SZ BV,Pine,Christie,10.14335796,W-P,241692,3767106,Trap Setup,10,Christie,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.08,35.01,24.88,9.34,114.9,47.46,47.48,NA,133.5,NA,TAIL MARGINALLY TAPERED; WINDY SO WEIGHT TO 0.1 G,KL
F11-097,ISSJ,ISSJ,1783-24870,ORY,AW,"ORY,AW",M,AHY,10/28/2011,2011,SZ Off-plot,Pine,Christie,0,W-P,240387,3766627,Trap Setup,0,Christie,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,9.95,33.64,25.33,8.89,115.02,46.34,NA,NA,138,157,NA,KL
F10-108,ISSJ,ISSJ,1583-92745,BGB,AG,"BGB,AG",M,AHY,11/1/2010,2010,SZ Off-plot,Pine,Pelican,0,C-P,250360,3768645,Trap Setup,0,Pelican,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.61,35.5,26.93,9.12,117.46,46.68,NA,NA,138,154,NA,KL
F11-169,ISSJ,ISSJ,1783-24898,PRO,AG,"PRO,AG",?,AHY,12/7/2011,2011,SZ Off-plot,Pine,Pelican,68.87847887,C-P,250568,3768740,Trap Setup,69,Pelican,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,9.98,34.94,26.51,8.81,121,47.23,NA,NA,136,154,PESOLA,KL
F11-105,ISSJ,ISSJ,1783-24875,OOP,AG,"OOP,AG",M,AHY,10/29/2011,2011,SZ Off-plot,Pine,Pelican,17.06071798,C-P,250638,3768583,Trap Setup,17,Pelican,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,9.91,37.69,29.1,9.2,NA,46.69,NA,NA,138,156.5,FORGOT MASS,KL
F10-015,ISSJ,ISSJ,1783-24620,GKG,AG,"GKG,AG",M,AHY,9/26/2010,2010,SZ Off-plot,Pine,Pelican,255.6144206,C-P,250872,3768769,Trap Setup,256,Pelican,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_5,NA,NA,NA,NA,NA,10.45,33.42,25.61,9.42,121.54,48.96,49.36,NA,137.5,NA,No tail feather taken; with female who rattled at him,KL
F11-102,ISSJ,ISSJ,1703-64638,WYO,AG,"WYO,AG",M,AHY,10/29/2011,2011,SZ Off-plot,Pine,Pelican,81.78793694,C-P,250783,3768571,Trap Setup,82,Pelican,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.26,36.22,27.6,9.2,122,47.18,NA,NA,141,160,PESOLA; WITH UB FEMALE; CAUGHT IN MIST NET; REMEMBERED PEANUTS FROM LAST YEAR,KL
F11-170,ISSJ,ISSJ,1783-24899,UGW,AG,"UGW,AG",?,AHY,12/7/2011,2011,SZ Off-plot,Pine,Pelican,0.374035876,C-P,251286,3768245,Trap Setup,0,Pelican,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.16,34.77,26.82,8.99,130,48.91,NA,NA,139.5,160,PESOLA; APPEARS TO BE TERRITORIAL MALE; CAUGHT IN MIST NET,KL
F10-111,ISSJ,ISSJ,1603-78757,POU,AG,"POU,AG",?,AHY,11/4/2010,2010,SZ Off-plot,Pine,Pelican,0,C-P,251544,3767876,Trap Setup,0,Pelican,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.01,34.43,25.68,9.3,109.9,45.35,NA,NA,135.5,151.5,NA,KL
